date,value,type
2025-06-28 00:00:00,2398.08,expense
2025-08-01 00:00:00,5206.79,income
2025-09-11 00:00:00,8827.84,income
2025-06-24 00:00:00,8024.76,income
2025-04-12 00:00:00,9368.47,expense
2025-07-03 00:00:00,7967.98,income
2025-12-13 00:00:00,4603.59,expense
2025-02-19 00:00:00,4405.01,expense
2025-07-17 00:00:00,2504.44,income
2025-03-11 00:00:00,2942.05,expense
2025-08-26 00:00:00,9433.09,income
2025-05-10 00:00:00,5936.93,income
2025-11-28 00:00:00,9174.49,income
2025-02-18 00:00:00,6395.23,income
2025-12-22 00:00:00,1704.28,expense
2025-06-24 00:00:00,1063.93,expense
2025-05-31 00:00:00,2354.5,expense
2025-04-15 00:00:00,6671.32,income
2025-04-16 00:00:00,3871.86,income
2025-11-22 00:00:00,2531.52,income
2025-11-30 00:00:00,1445.97,expense
2025-01-28 00:00:00,8510.1,expense
2025-10-01 00:00:00,8269.79,income
1/11/2025,267.26,expense
2025-04-26 00:00:00,5693.72,income
2025-11-26 00:00:00,8310.48,expense
2025-06-03 00:00:00,3800.28,expense
2025-04-27 00:00:00,6512.98,income
2025-10-31 00:00:00,6714.91,income
2025-06-25 00:00:00,2465.07,expense
2025-12-21 00:00:00,7153.88,income
2025-03-03 00:00:00,2331.17,expense
2025-06-04 00:00:00,6979.93,expense
2025-10-28 00:00:00,3466.19,expense
2025-05-30 00:00:00,9165.07,income
2025-11-10 00:00:00,6267.81,expense
2025-03-10 00:00:00,1959.73,expense
2025-01-24 00:00:00,7147.98,income
2025-10-02 00:00:00,3492.36,expense
2025-04-13 00:00:00,1263.18,expense
2025-06-01 00:00:00,6586.6,expense
2025-01-05 00:00:00,6149.59,expense
2025-06-21 00:00:00,4396.47,income
2/2/2025,300.26,expense
2025-07-25 00:00:00,5171.86,income
2025-07-31 00:00:00,9383.32,income
2025-04-14 00:00:00,6985.42,income
2025-04-30 00:00:00,6816.24,income
2025-10-21 00:00:00,8836.5,expense
2025-01-18 00:00:00,4564.32,income
2/13/2025,246.62,expense
2025-07-05 00:00:00,2148.19,expense
2025-10-17 00:00:00,4446.74,income
2025-06-16 00:00:00,8019.51,expense
2025-08-26 00:00:00,2457.99,income
2025-07-19 00:00:00,8240.22,expense
2025-03-13 00:00:00,8546.82,expense
2025-07-03 00:00:00,2980.22,expense
2025-02-27 00:00:00,3357.63,income
2025-10-29 00:00:00,4084.96,income
2025-06-26 00:00:00,1215.37,expense
2025-02-01 00:00:00,2244.92,expense
2025-12-12 00:00:00,2227.71,expense
2/11/2025,252.54,expense
2025-12-20 00:00:00,7918.72,income
2025-05-23 00:00:00,7730.88,income
2/16/2025,293.55,expense
2025-01-11 00:00:00,4928.51,income
2025-10-29 00:00:00,8694.35,expense
2025-01-23 00:00:00,1338.14,expense
2025-10-07 00:00:00,8965.74,expense
2025-09-04 00:00:00,2473.11,expense
2025-07-12 00:00:00,6550.34,income
2025-03-14 00:00:00,1548.74,income
2025-04-05 00:00:00,8679.64,expense
2025-07-24 00:00:00,1367.75,expense
2025-10-03 00:00:00,6724.11,expense
2025-11-07 00:00:00,5172.1,income
2025-12-13 00:00:00,4391.56,expense
2025-09-16 00:00:00,6553.52,expense
2025-12-10 00:00:00,3819.31,income
2025-01-29 00:00:00,4091.07,income
2025-08-13 00:00:00,9605.89,income
2025-02-16 00:00:00,1397.65,expense
2025-01-06 00:00:00,3736.98,income
2025-12-26 00:00:00,8311.13,expense
2025-07-02 00:00:00,4170.59,income
2025-07-29 00:00:00,2683.68,expense
2025-03-07 00:00:00,6112.67,expense
2025-05-20 00:00:00,2362.84,expense
2025-10-28 00:00:00,7034.95,income
2025-02-25 00:00:00,6261.74,expense
2025-08-16 00:00:00,9456.67,expense
2025-05-24 00:00:00,8495.42,expense
2025-05-21 00:00:00,2505.61,income
2025-02-14 00:00:00,7358.82,expense
2025-12-29 00:00:00,1092.58,expense
2025-11-24 00:00:00,3262.44,expense
2025-08-30 00:00:00,5565.14,income
2025-02-27 00:00:00,5442.34,expense
2025-02-15 00:00:00,8924.4,income
2025-05-03 00:00:00,2627.24,income
2025-12-30 00:00:00,9595.31,expense
2025-05-19 00:00:00,9079.22,expense
2025-01-24 00:00:00,5962.44,expense
2025-05-27 00:00:00,2938.9,expense
2025-06-01 00:00:00,3545.4,income
2025-08-21 00:00:00,3265.32,expense
2025-08-22 00:00:00,9793.31,income
2025-12-05 00:00:00,7424.44,income
2025-07-10 00:00:00,3183.76,expense
2025-10-10 00:00:00,6323.82,expense
2025-10-31 00:00:00,5497.21,expense
2025-12-09 00:00:00,2581.45,income
2025-02-11 00:00:00,9364.15,expense
2025-08-20 00:00:00,2871.94,income
2025-12-11 00:00:00,6289.85,expense
2025-03-05 00:00:00,5632.01,expense
2025-03-15 00:00:00,6719.52,income
2025-04-18 00:00:00,7459.62,income
2025-11-26 00:00:00,9774.98,expense
2025-11-06 00:00:00,6504.56,income
2025-02-15 00:00:00,7277.06,expense
2025-01-18 00:00:00,9393.91,expense
2025-10-06 00:00:00,1458.84,income
2025-12-06 00:00:00,8636.88,expense
2025-06-14 00:00:00,3974.62,expense
2025-07-15 00:00:00,1439.31,expense
2025-07-05 00:00:00,6350.86,expense
2025-01-25 00:00:00,5689.36,income
2025-01-04 00:00:00,1841.33,expense
2025-08-23 00:00:00,1712.91,income
2025-05-11 00:00:00,4165.42,expense
2025-02-09 00:00:00,5461.46,income
2025-09-11 00:00:00,8045.3,income
2025-11-14 00:00:00,7513.06,income
2025-08-14 00:00:00,3267.59,income
2025-08-19 00:00:00,6031.96,expense
2025-11-09 00:00:00,7913.43,expense
2025-11-06 00:00:00,7649.95,expense
2025-05-29 00:00:00,1788.34,income
2025-08-30 00:00:00,8211.29,income
2025-02-27 00:00:00,4393.48,expense
2025-11-05 00:00:00,4496.1,income
2025-01-04 00:00:00,8894.3,expense
2025-11-08 00:00:00,3273.07,expense
2025-12-05 00:00:00,4452.0,income
2025-05-15 00:00:00,4619.94,income
2025-09-30 00:00:00,2882.67,income
2025-08-09 00:00:00,9855.08,expense
2025-04-07 00:00:00,9802.71,income
2025-03-17 00:00:00,4803.05,expense
2025-05-16 00:00:00,5240.88,income
2/18/2025,254.69,expense
2025-04-19 00:00:00,9933.56,expense
2025-01-26 00:00:00,1808.85,expense
2025-08-11 00:00:00,7035.13,income
2025-10-29 00:00:00,5561.72,income
2025-11-08 00:00:00,6389.78,expense
2025-10-05 00:00:00,4172.35,expense
2025-08-27 00:00:00,6636.29,expense
2025-07-06 00:00:00,7246.84,income
2025-08-06 00:00:00,9750.54,expense
2025-06-06 00:00:00,2886.89,expense
2025-06-21 00:00:00,3974.76,expense
2025-10-15 00:00:00,1732.94,income
2025-11-27 00:00:00,8697.07,expense
2025-05-21 00:00:00,2886.59,expense
2025-04-26 00:00:00,1514.71,expense
2025-11-08 00:00:00,2252.64,expense
2025-08-24 00:00:00,3841.67,income
2025-12-27 00:00:00,4486.7,income
2025-11-30 00:00:00,9654.82,income
2025-03-07 00:00:00,5243.33,income
2025-06-04 00:00:00,3152.39,expense
2025-08-12 00:00:00,8578.0,income
2025-07-04 00:00:00,6912.3,expense
2025-02-25 00:00:00,4295.3,expense
2025-11-15 00:00:00,5089.11,income
2025-12-17 00:00:00,8334.63,income
2025-04-15 00:00:00,5365.27,expense
2025-04-05 00:00:00,4177.47,expense
2025-05-29 00:00:00,4911.16,income
2025-05-28 00:00:00,9835.74,expense
2025-09-06 00:00:00,7692.93,expense
2025-11-02 00:00:00,7684.05,expense
2025-02-18 00:00:00,3842.49,expense
2025-06-10 00:00:00,4739.34,expense
2025-02-19 00:00:00,7213.12,income
2025-11-12 00:00:00,4054.16,expense
2025-03-28 00:00:00,5075.68,expense
2025-04-18 00:00:00,2744.85,expense
2025-06-06 00:00:00,2877.14,expense
2025-07-04 00:00:00,3695.63,expense
2025-07-10 00:00:00,3358.14,income
2025-07-19 00:00:00,2248.78,income
2025-07-11 00:00:00,8674.24,income
2025-02-09 00:00:00,9192.01,expense
2025-05-29 00:00:00,3649.42,income
2025-07-30 00:00:00,4222.63,income
2025-05-21 00:00:00,7274.94,expense
2025-01-24 00:00:00,1983.06,income
2025-02-18 00:00:00,5653.82,income
2025-08-18 00:00:00,8524.2,income
2025-04-08 00:00:00,8345.89,expense
2025-05-03 00:00:00,5992.32,expense
2025-10-03 00:00:00,9875.86,income
2025-10-09 00:00:00,7172.57,income
2025-05-09 00:00:00,7745.1,expense
2025-06-11 00:00:00,7044.74,income
2025-06-06 00:00:00,1622.31,income
2025-12-19 00:00:00,3837.53,expense
2025-04-08 00:00:00,1366.17,income
2025-05-04 00:00:00,6235.51,expense
2025-09-14 00:00:00,9842.68,income
2025-09-13 00:00:00,3451.77,expense
2025-03-02 00:00:00,9657.65,expense
2025-01-21 00:00:00,5995.53,income
2025-11-25 00:00:00,4195.79,expense
2025-07-06 00:00:00,3156.18,expense
2025-01-30 00:00:00,9051.52,income
2025-08-24 00:00:00,1263.31,expense
2025-06-28 00:00:00,2332.96,income
6/20/2025,217.98,expense
2025-01-08 00:00:00,8873.45,expense
2025-05-18 00:00:00,2393.76,expense
2025-11-13 00:00:00,7197.05,income
2025-11-18 00:00:00,8500.35,expense
2025-01-27 00:00:00,4936.65,expense
2025-07-08 00:00:00,3954.61,expense
